Final Action	Number of Stories	Closing Action
are_lectured_by	93	thereafter B droned on and on but A was steadfast in its refusal to listen; here endeth the lecture	
are_rebuffed_by	92	"A should take the hint and just stay out of B's way from now on, A could take the hint and move very far away from B, perhaps A should attempt a dramatic gesture of some kind to win B over? But that's a story for another day"	
rule_over	91	"thereafter B would dance to A's tune like a little puppet on a string; how degrading, thereafter whenever A said ""Jump"" B would answer ""How high SIR?""; how degrading"	
are_unimpressed_by	90	perhaps B should attempt a dramatic gesture of some kind to win A over? But that's a story for another day	
break_up_with	87	"thereafter B simmered in the juices of its own resentments and never found love again, thereafter B would say that it was the other way around: that it was B that dumped A"	
are_threatened_by	86	thereafter A would bristle at B's threats but never had the guts to stand over threats of its own	
are_resisted_by	82	thereafter A threw everything it at B to crush its spirit and end its resistance 	
are_abducted_by	75	"thereafter A would yearn for its freedom from B but never had the guts to fight for it, thereafter A would dance to B's tune and jump at B's orders, thereafter A would wear the chains of a slave but dreamt of choking B with those chains"	
subjugate	70	"thereafter B would dance to A's tune like a little puppet on a string; how degrading, thereafter whenever A said ""Jump"" B would answer ""How high SIR?""; how degrading"	
are_underestimated_by	69	"soon thereafter B learned that to underestimate your enemy is to prepare for defeat, a wise general over-estimates the enemy; a fool like B under-estimates the enemy, those like B who underestimate their enemy are willing go elephant hunting with a pop-gun, soon thereafter B learned that those who underestimate their enemy so often fall into their enemy's traps"	
cheat_on	67	thereafter A's relationship with B hit the skids; there are in couple counselling as we speak	
are_nominated_by	64	"thereafter the sky was the limit was A's career but even that seemed a glass ceiling worth breaking, thereafter B felt that A owed it a massive favor and bided its time before calling it in"	
are_punished_by	62	"that should teach A a lesson; or will it just make A want to take revenge against B?, A got the stick here but wouldn't the carrot have been a more productive strategy for B?"	
are_kidnapped_by	62	"thereafter A would yearn for its freedom from B but never had the guts to fight for it, thereafter A would dance to B's tune and jump at B's orders, thereafter A would wear the chains of a slave but dreamt of choking B with those chains"	
are_investigated_by	62	thereafter B scrutinized every little detail in A's past so A hired a lawyer	
tune_out	58	thereafter B droned on and on but A was steadfast in its refusal to listen; here endeth the lecture	
feel_sorry_for	57	"thereafter A could do no harm to B but felt a common cause with B, thereafter B's cause became A's cause and the two faced life's challenges together"	
die_for	53	"A's dying words to B were ""it is a far better thing that I do now than I have ever done"""	
eject	50	"thereafter B was thoroughly disgusted with itself but the damage had been done, thereafter B would never again find a host as kind and generous as A"	
counsel	50	thereafter A was a lifelong mentor to B; though B was not always wise enough to take its advice	
are_censured_by	47	"some insults can hurt more than a sword between the ribs, some insults can leave a lasting mark that is nastier than any scar, swords and knives scar you on the outside; insults can scar you on the inside"	
capture	42	"what will A do now that B is in its clutches? What would you do?, thereafter A kept B on a very tight leash indeed; B was never truly free again"	
are_cursed_by	40	thereafter the curse of B followed A everywhere and no mage or gypsy could ever lift it	
buy_off	39	"thereafter B's soul belonged entirely to A and it would never again belong to its rightful owner, thereafter A treated B as its personal property and degraded it accordingly"	
bribe	36	"thereafter B's soul belonged entirely to A and it would never again belong to its rightful owner, thereafter A treated B as its personal property and degraded it accordingly"	
